metric_code,period_label,year,school_year_start_year,education_level,source_publisher,indicator_code,value,data_status,break_flag
K1,SY1972–1973,1972,1972,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,30.27734,Official,
K1,SY1973–1974,1973,1973,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,29.15901,Official,
K1,SY1974–1975,1974,1974,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,28.30899,Official,
K1,SY1975–1976,1975,1975,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,29.77118,Official,
K1,SY1976–1977,1976,1976,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,31.48901,Official,
K1,SY1978–1979,1978,1978,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.62505,Official,
K1,SY1981–1982,1981,1981,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.14035,Official,
K1,SY1982–1983,1982,1982,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.35011,Official,
K1,SY1983–1984,1983,1983,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.25573,Official,
K1,SY1984–1985,1984,1984,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.98342,Official,
K1,SY1985–1986,1985,1985,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,32.1134,Official,
K1,SY1986–1987,1986,1986,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,32.3135,Official,
K1,SY1987–1988,1987,1987,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.84303,Official,
K1,SY1988–1989,1988,1988,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.05541,Official,
K1,SY1989–1990,1989,1989,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.44644,Official,
K1,SY1990–1991,1990,1990,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.34573,Official,
K1,SY1991–1992,1991,1991,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.09292,Official,
K1,SY1992–1993,1992,1992,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,32.44527,Official,
K1,SY1994–1995,1994,1994,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.02598,Official,
K1,SY1995–1996,1995,1995,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,36.20277,Official,
K1,SY1997–1998,1997,1997,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,31.59721,Official,
K1,SY1998–1999,1998,1998,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,33.62201,Official,
K1,SY1999–2000,1999,1999,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.06824,Official,
K1,SY2001–2002,2001,2001,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,36.38671,Official,
K1,SY2002–2003,2002,2002,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,38.3308,Official,
K1,SY2003–2004,2003,2003,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,37.08653,Official,
K1,SY2004–2005,2004,2004,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,37.53937,Official,
K1,SY2005–2006,2005,2005,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,37.86897,Official,
K1,SY2006–2007,2006,2006,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,37.27093,Official,
K1,SY2007–2008,2007,2007,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,35.13372,Official,
K1,SY2009–2010,2009,2009,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,34.81426,Official,
K1,SY2014–2015,2014,2014,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,26.99059,Official,
K1,SY2015–2016,2015,2015,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,26.22974,Official,
K1,SY2016–2017,2016,2016,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,23.52214,Official,
K1,SY2017–2018,2017,2017,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL.TC.ZS,23.88062,Official,
K2,SY1971–1972,1971,1971,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,6968978,Official,
K2,SY1972–1973,1972,1972,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7001970,Official,
K2,SY1973–1974,1973,1973,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7022709,Official,
K2,SY1974–1975,1974,1974,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7209039,Official,
K2,SY1975–1976,1975,1975,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7429249,Official,
K2,SY1976–1977,1976,1976,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7597279,Official,
K2,SY1977–1978,1977,1977,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7808158,Official,
K2,SY1978–1979,1978,1978,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,7861641,Official,
K2,SY1979–1980,1979,1979,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8178609,Official,
K2,SY1980–1981,1980,1980,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8112536,Official,
K2,SY1981–1982,1981,1981,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8506072,Official,
K2,SY1982–1983,1982,1982,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8518283,Official,
K2,SY1983–1984,1983,1983,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8591267,Official,
K2,SY1984–1985,1984,1984,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8717469,Official,
K2,SY1985–1986,1985,1985,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8793763,Official,
K2,SY1986–1987,1986,1986,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,8925959,Official,
K2,SY1987–1988,1987,1987,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,9204168,Official,
K2,SY1988–1989,1988,1988,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,9601322,Official,
K2,SY1989–1990,1989,1989,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,9972571,Official,
K2,SY1990–1991,1990,1990,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10284861,Official,
K2,SY1991–1992,1991,1991,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10427077,Official,
K2,SY1992–1993,1992,1992,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10517932,Official,
K2,SY1993–1994,1993,1993,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10674073,Official,
K2,SY1994–1995,1994,1994,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10731453,Official,
K2,SY1995–1996,1995,1995,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,10910876,Official,
K2,SY1996–1997,1996,1996,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,11541570,Official,
K2,SY1997–1998,1997,1997,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,11847794,Official,
K2,SY1998–1999,1998,1998,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12225038,Official,
K2,SY1999–2000,1999,1999,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12502524,Official,
K2,SY2000–2001,2000,2000,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12707788,Official,
K2,SY2001–2002,2001,2001,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12759918,Official,
K2,SY2002–2003,2002,2002,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12826218,Official,
K2,SY2003–2004,2003,2003,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12970635,Official,
